"ID","ISDELETED","ACCOUNTID","ISPRIVATE","NAME","DESCRIPTION","STAGENAME","AMOUNT","PROBABILITY","EXPECTEDREVENUE","TOTALOPPORTUNITYQUANTITY","CLOSEDATE","TYPE","NEXTSTEP","LEADSOURCE","ISCLOSED","ISWON","FORECASTCATEGORY","FORECASTCATEGORYNAME","CAMPAIGNID","HASOPPORTUNITYLINEITEM","PRICEBOOK2ID","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","FISCALQUARTER","FISCALYEAR","FISCAL"
"006gK000000GqsIQAS","0","001gK0000029oaqQAA","0","United Oil Office Portable Generators",,"Negotiation/Review","125000.0","90.0","112500.0",,"01/18/2025 00:00:00.000000","Existing Customer - Upgrade",,,"0","0","Pipeline","Pipeline",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqsJQAS","0","001gK0000029oarQAA","0","Express Logistics Standby Generator",,"Closed Won","220000.0","100.0","220000.0",,"12/14/2024 00:00:00.000000","New Customer",,"Trade Show","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqsKQAS","0","001gK0000029oavQAA","0","GenePoint Standby Generator",,"Closed Won","85000.0","100.0","85000.0",,"01/21/2025 00:00:00.000000","New Customer",,"Partner","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqsMQAS","0","001gK0000029oaqQAA","0","United Oil Refinery Generators",,"Proposal/Price Quote","270000.0","75.0","202500.0",,"03/04/2025 00:00:00.000000","Existing Customer - Upgrade",,,"0","0","Pipeline","Pipeline",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"2","2015","2015 2"
"006gK000000GqsNQAS","0","001gK0000029oaqQAA","0","United Oil SLA",,"Closed Won","120000.0","100.0","120000.0",,"03/11/2025 00:00:00.000000","Existing Customer - Upgrade",,"Partner","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"2","2015","2015 2"
"006gK000000GqsPQAS","0","001gK0000029oalQAA","0","Edge Emergency Generator",,"Closed Won","75000.0","100.0","75000.0",,"03/19/2025 00:00:00.000000","New Customer",,"Word of mouth","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"2","2015","2015 2"
"006gK000000GqsQQAS","0","001gK0000029oasQAA","0","University of AZ Portable Generators",,"Closed Won","50000.0","100.0","50000.0",,"12/18/2024 00:00:00.000000","New Customer",,"Public Relations","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqsUQAS","0","001gK0000029oavQAA","0","GenePoint SLA",,"Closed Won","30000.0","100.0","30000.0",,"03/16/2025 00:00:00.000000","Existing Customer - Upgrade",,"Partner","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"2","2015","2015 2"
"006gK000000GqsVQAS","0","001gK0000029oaqQAA","0","United Oil Installations",,"Negotiation/Review","270000.0","90.0","243000.0",,"01/14/2025 00:00:00.000000","Existing Customer - Upgrade",,,"0","0","Pipeline","Pipeline",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqsWQAS","0","001gK0000029oalQAA","0","Edge Installation",,"Closed Won","50000.0","100.0","50000.0",,"01/08/2025 00:00:00.000000","Existing Customer - Upgrade",,"Word of mouth","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
